Lable,AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30
tiltl,-15,70,-255,20,-15,-5,-16,70,-256,28,-3,-12,-17,70,-256,18,-10,-5,-15,67,-257,3,-7,-12,-18,70,-256,13,16,-14,-15,70,-254,23,10,-10,-18,68,-256,26,4,-18,-19,69,-257,75,-7,-16,-19,66,-258,-19,9,-13,-35,16,-288,-1660,483,162,-12,106,-239,-3159,869,148,26,185,-185,-2340,579,-99,20,225,-146,-1723,468,-248,26,266,-126,-452,171,-73,26,246,-133,759,-246,82,19,218,-142,2545,-635,-130,5,177,-185,3948,-1009,-132,-31,42,-250,3232,-750,-103,-41,2,-272,1743,-375,-75,-40,-11,-273,655,-134,-38,-39,-15,-270,-38,34,25,-39,-8,-263,-119,36,23,-32,2,-258,-478,104,26,-35,8,-260,-55,32,-1,-30,19,-260,35,0,-22,-34,8,-262,-58,38,-11,-36,15,-260,27,3,-15,-35,12,-260,38,12,-29,-35,13,-261,-6,26,-32,-34,13,-260,19,17,-22
tiltl,-33,15,-262,-4,5,-6,-34,9,-260,-5,8,-1,-34,11,-262,-13,7,-2,-36,12,-260,37,12,-15,-34,14,-260,12,8,-18,-37,14,-259,9,16,-18,-33,11,-262,-2,1,-15,-35,12,-262,13,15,-9,-36,10,-264,21,16,-16,-34,6,-266,-228,71,12,-40,-10,-283,-2376,684,166,-21,62,-234,-4730,1295,274,49,242,-141,-2491,616,-114,26,244,-142,-1098,274,-116,20,236,-145,-297,69,-63,17,237,-136,902,-253,7,10,223,-165,2532,-589,-208,-3,141,-207,3782,-855,-286,-29,39,-260,2942,-584,-191,-38,3,-266,1683,-336,-95,-40,-13,-274,613,-99,-17,-38,-4,-261,-208,62,41,-40,-5,-259,-107,38,22,-39,-9,-261,-50,29,-14,-38,1,-259,-73,15,-6,-39,0,-263,27,11,-3,-39,1,-262,11,5,-19,-38,2,-260,3,33,-28,-37,3,-258,-75,36,-25,-30,13,-257,-56,8,-31
tiltl,-37,3,-263,36,27,-8,-35,5,-259,-24,7,-21,-37,8,-259,36,5,-8,-39,5,-261,0,8,-16,-36,7,-261,6,10,-9,-36,10,-257,33,6,-15,-38,4,-261,-5,11,-10,-36,5,-263,-29,20,-16,-43,-12,-283,-1236,384,116,-22,53,-258,-3410,944,94,31,174,-163,-4879,1242,213,22,212,-164,-1452,345,-101,23,247,-147,-480,161,-134,28,234,-141,677,-193,84,27,233,-139,2505,-700,-156,-2,148,-198,4148,-1050,-256,-25,49,-262,2737,-657,-154,-37,10,-273,1473,-332,-37,-40,-3,-267,617,-116,20,-43,-1,-259,-125,49,15,-39,-3,-264,-120,63,11,-36,9,-258,-109,54,-17,-37,1,-264,-288,91,1,-36,16,-259,47,12,-39,-32,17,-261,-26,12,-23,-36,14,-261,8,33,-25,-35,14,-260,28,17,-28,-32,19,-260,28,5,-28,-34,15,-260,13,16,-16,-33,18,-259,39,2,-25
tiltl,-34,16,-261,5,9,-11,-33,10,-261,-8,8,-7,-33,17,-259,34,9,-14,-34,17,-259,36,10,-20,-36,14,-261,1,10,-17,-32,12,-264,-41,17,-15,-36,15,-263,-158,86,1,-42,-6,-276,-1327,373,107,-40,12,-278,-2277,712,200,0,109,-205,-4354,1144,294,37,226,-152,-2155,534,-40,16,222,-159,-933,295,-136,26,246,-144,264,7,20,33,242,-134,1730,-468,-42,-2,162,-197,3542,-909,-178,-13,92,-221,3589,-857,-260,-24,35,-268,1960,-494,-147,-44,-7,-275,1153,-187,-50,-43,-25,-266,-5,47,33,-41,-6,-259,-14,39,-15,-35,1,-262,-15,27,-22,-37,0,-260,-2,13,-16,-39,-5,-264,-198,60,15,-30,21,-254,-62,-13,-36,-34,3,-262,-30,23,-14,-35,8,-261,-54,7,-12,-37,10,-262,20,11,-4,-36,4,-260,17,28,-21,-35,9,-259,39,10,-27,-37,6,-259,21,24,-16
tiltl,-39,6,-259,10,13,-24,-35,7,-263,-15,15,-21,-35,5,-263,20,10,-20,-36,5,-262,15,9,-16,-35,8,-262,2,23,-10,-35,4,-265,-207,74,12,-43,-10,-281,-1871,539,176,-27,45,-248,-4677,1281,338,57,240,-128,-3239,735,18,14,205,-166,-996,183,-50,21,229,-146,-360,55,-88,23,239,-148,591,-194,12,32,234,-147,2479,-683,-218,1,165,-190,3757,-984,-186,-30,49,-250,2968,-770,-150,-42,8,-268,1648,-393,-106,-45,-6,-268,711,-138,-54,-44,-10,-266,9,45,4,-44,0,-261,56,28,-34,-41,3,-258,22,33,-43,-39,-2,-260,20,36,-42,-38,1,-260,-4,22,-33,-40,3,-257,1,24,-38,-39,3,-257,14,27,-33,-42,2,-258,12,10,-13,-39,1,-259,12,26,-12,-43,0,-263,-17,21,-14,-37,2,-263,-4,-2,-23,-39,2,-259,16,13,-15,-37,1,-261,8,19,-14
