#,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
192,14,138,-216,18,12,-22
193,14,138,-216,14,10,-20
194,14,138,-216,10,6,-16
195,14,138,-216,8,6,-14
196,14,138,-216,12,2,-16
197,14,138,-216,14,0,-16
198,14,138,-216,14,2,-18
199,13,138,-216,18,4,-16
200,13,138,-216,14,6,-18
201,13,138,-216,16,4,-16
202,12,138,-216,16,2,-14
203,13,138,-216,14,6,-12
204,13,138,-216,12,6,-14
205,13,138,-216,16,6,-16
206,12,138,-216,16,8,-18
207,12,138,-216,14,12,-20
208,12,138,-216,16,10,-20
209,12,138,-216,12,8,-20
210,12,138,-216,12,6,-18
211,12,138,-216,6,4,-22
212,12,138,-216,8,6,-20
213,12,138,-216,8,14,-24
214,12,138,-216,6,16,-24
215,12,138,-216,6,14,-22
216,11,138,-216,6,18,-20
217,11,138,-216,4,16,-22
218,11,138,-216,10,18,-26
219,10,139,-216,4,12,-26
220,11,139,-216,4,8,-24
221,11,139,-216,6,10,-26
222,10,139,-216,12,16,-24
223,10,139,-216,8,14,-26
224,10,139,-216,10,10,-26
225,10,139,-216,8,8,-28
226,9,139,-216,12,12,-30
227,9,139,-216,12,14,-32
228,8,139,-216,16,10,-28
229,8,139,-216,22,14,-34
230,8,140,-216,12,18,-38
231,8,139,-216,30,6,-22
232,8,139,-216,24,12,-18
233,8,138,-216,22,14,-24
234,8,138,-216,42,-4,-12
235,7,138,-216,14,16,-24
236,8,137,-217,30,-8,-12
237,8,137,-216,18,4,-12
238,7,136,-217,16,4,-18
239,6,137,-217,22,8,-20
240,6,136,-217,22,18,-24
241,8,137,-216,12,12,-26
242,6,137,-217,14,14,-22
243,6,137,-217,18,12,-18
244,6,137,-217,24,14,-12
245,6,136,-217,30,16,-14
246,5,136,-217,30,16,-16
247,6,136,-217,24,-2,-16
248,6,135,-217,30,2,-12
249,6,136,-217,36,8,-2
250,5,135,-218,38,14,2
251,6,135,-218,24,6,0
252,5,134,-219,28,-4,4
253,5,133,-219,32,0,0
254,5,133,-220,32,6,-6
255,5,135,-220,20,34,-12
256,-3,166,-209,78,-22,310
257,-28,194,-199,-10,-362,1204
258,-59,177,-205,-44,-1070,2306
259,-77,134,-219,-2,-1440,2672
260,-74,98,-228,94,-1354,2446
261,-74,66,-242,54,-966,1750
262,-80,48,-253,66,-326,704
263,-92,48,-252,98,334,-522
264,-94,85,-244,64,742,-1224
265,-84,108,-230,164,684,-1222
266,-72,118,-228,190,562,-1120
267,-58,118,-229,174,480,-972
268,-45,115,-230,174,412,-834
269,-32,113,-230,150,352,-732
270,-23,111,-232,134,312,-644
271,-14,110,-232,120,272,-566
272,-8,109,-232,104,236,-498
273,-1,109,-232,96,192,-428
274,2,108,-232,88,172,-374
275,6,107,-233,80,146,-324
276,10,105,-234,74,126,-276
277,12,104,-234,74,118,-244
278,14,104,-234,60,108,-224
279,17,103,-234,56,92,-204
280,18,103,-234,50,82,-176
281,19,102,-234,46,78,-152
282,21,102,-234,44,70,-134
283,23,101,-234,34,60,-120
284,23,101,-235,36,52,-106
285,24,100,-235,42,58,-94
286,25,99,-234,42,60,-94
287,27,100,-233,30,54,-90
288,26,100,-235,30,44,-78
289,27,100,-234,22,44,-70
290,27,100,-234,22,44,-62
291,28,99,-234,22,36,-60
292,28,99,-234,18,30,-56
293,29,99,-235,16,28,-58
294,28,99,-235,14,30,-58
295,29,99,-234,16,28,-62
296,29,100,-234,10,32,-60
297,29,99,-234,16,24,-48
298,29,99,-235,16,38,-50
299,29,99,-235,14,40,-48
300,29,99,-234,14,40,-48
301,30,99,-234,16,34,-44
302,30,99,-234,16,34,-42
303,30,99,-234,22,32,-46
304,30,99,-234,28,34,-54
305,31,99,-233,26,38,-60
306,30,100,-234,20,32,-54
307,30,99,-235,18,30,-48
308,30,99,-235,12,32,-44
309,30,98,-235,4,26,-46
310,30,99,-235,8,32,-42
311,30,98,-235,10,34,-48
312,29,98,-235,16,38,-54
313,30,99,-235,10,36,-56
314,30,99,-235,12,26,-50
315,30,99,-235,10,28,-50
316,30,99,-235,8,24,-52
317,30,99,-235,12,22,-50
318,30,99,-235,18,18,-42
319,30,99,-235,20,16,-36
320,30,99,-235,16,18,-42
321,30,99,-235,10,10,-40
322,30,100,-235,8,14,-36
323,30,100,-235,12,16,-34
324,29,99,-235,16,16,-32
325,30,100,-235,10,14,-38
326,30,100,-235,8,14,-34
327,29,100,-235,18,18,-30
328,29,100,-235,20,24,-38
329,29,100,-235,8,22,-40
330,29,100,-235,10,18,-34
331,29,100,-235,4,12,-30
332,29,100,-235,4,16,-30
333,29,100,-235,10,14,-32
334,29,101,-235,10,14,-28
335,29,101,-235,8,12,-22
336,29,100,-235,20,12,-18
337,28,99,-235,20,12,-28
338,28,100,-235,10,10,-36
339,28,100,-235,8,0,-28
340,28,100,-235,4,2,-22
341,28,99,-235,4,8,-20
342,27,99,-235,10,12,-26
343,28,100,-235,12,10,-28
344,27,100,-235,14,16,-24
345,28,100,-235,16,24,-26
346,28,100,-235,18,22,-26
347,28,101,-234,10,14,-22
348,28,101,-234,0,0,-14
349,28,101,-234,4,0,-14
350,27,100,-234,6,4,-18
351,27,100,-234,8,2,-22
352,27,100,-234,6,2,-14
353,27,100,-234,14,4,-6
354,26,99,-234,24,0,-8
355,26,100,-234,10,0,-18
356,26,100,-234,8,0,-16
357,25,100,-234,8,2,-14
358,25,100,-234,6,6,-12
359,25,100,-234,16,10,-14
360,25,100,-234,12,8,-18
361,25,100,-234,16,10,-14
362,25,100,-234,20,8,-16
363,24,100,-234,24,10,-26
364,24,101,-233,12,2,-30
365,24,101,-235,8,0,-22
366,23,101,-235,12,8,-18
367,23,100,-234,12,8,-18
368,23,100,-234,10,0,-28
369,23,100,-235,12,-8,-22
370,22,100,-235,18,0,-20
371,22,100,-235,16,2,-20
372,21,100,-235,18,2,-20
373,21,100,-235,14,-6,-26
374,20,100,-235,18,-20,-30
375,29,114,-248,2,-48,-12
376,3,143,-287,302,1308,640
377,-33,122,-253,540,3094,1064
378,-39,91,-150,690,3222,930
379,-38,78,-91,366,1526,526
380,-54,70,-86,82,-604,-24
381,-65,80,-151,-10,-1386,-174
382,-55,101,-189,0,-1202,-132
383,-44,103,-192,-20,-914,-134
384,-36,99,-191,-58,-808,-152
385,-29,100,-200,-16,-724,-148
386,-22,101,-207,-6,-630,-122
387,-17,100,-211,-14,-540,-102
388,-13,100,-214,0,-464,-88
389,-9,99,-217,4,-400,-82
390,-6,99,-219,0,-342,-80
391,-3,99,-222,8,-288,-74
392,-1,98,-224,8,-238,-70
393,0,98,-225,26,-198,-62
394,1,98,-226,30,-170,-62
395,1,97,-229,28,-156,-54
396,1,97,-231,22,-122,-50
397,1,97,-230,14,-96,-46
398,2,96,-232,18,-80,-46
399,2,96,-232,12,-66,-40
400,2,96,-233,22,-46,-30
401,2,95,-234,16,-32,-36
402,5,95,-233,12,-14,-50
403,12,99,-234,-8,72,-36
404,18,101,-233,48,164,8
405,23,98,-233,36,148,64
406,23,96,-233,20,122,112
407,23,93,-234,0,64,132
408,20,92,-233,-40,-40,116
409,14,93,-232,-86,-114,54
410,12,96,-234,-66,-68,-8
411,11,95,-235,102,-24,-4
412,1,99,-244,278,60,80
413,8,86,-236,270,28,14
414,11,84,-238,296,12,34
415,12,79,-239,258,34,26
416,12,75,-241,248,36,20
417,13,71,-242,210,38,14
418,14,67,-244,192,34,2
419,15,64,-244,168,36,-6
420,16,62,-245,148,30,-8
421,16,61,-246,138,28,-12
422,16,58,-246,112,32,-18
423,16,57,-246,120,28,-22
424,17,54,-247,94,30,-24
425,18,54,-247,98,28,-26
426,18,52,-247,78,28,-28
427,18,52,-247,74,26,-24
428,18,51,-247,64,28,-26
429,18,49,-247,64,28,-28
430,18,49,-247,56,26,-28
431,18,48,-248,56,24,-28
432,18,47,-248,52,22,-26
433,18,47,-248,46,22,-26
434,18,46,-248,44,18,-26
435,18,46,-248,46,18,-26
436,18,45,-249,36,20,-26
437,18,44,-249,36,18,-28
438,18,44,-250,36,16,-24
439,18,44,-249,34,18,-26
440,18,43,-249,28,16,-24
441,18,43,-249,26,18,-24
442,18,43,-249,20,18,-22
443,18,43,-249,24,18,-26
444,18,43,-249,18,18,-22
445,18,42,-249,22,24,-24
446,18,42,-249,4,24,-24
447,19,43,-249,10,26,-26
448,19,43,-249,10,22,-26
449,19,43,-249,-6,28,-28
450,19,43,-249,6,24,-26
451,19,43,-249,8,22,-26
452,19,43,-249,16,20,-22
453,19,43,-249,24,20,-22
454,19,43,-249,20,16,-20
455,20,44,-249,34,14,-16
456,19,43,-249,20,16,-14
457,19,42,-249,22,16,-14
458,19,42,-249,26,16,-18
459,20,42,-249,30,16,-16
460,20,42,-249,26,16,-18
461,20,42,-249,30,14,-16
462,20,41,-249,34,16,-18
463,20,41,-250,32,16,-18
464,20,41,-249,26,16,-20
465,20,41,-249,26,14,-18
466,20,40,-249,32,16,-20
467,20,39,-249,32,20,-20
468,20,39,-249,30,20,-22
469,20,39,-249,30,22,-20
470,20,38,-249,26,22,-20
471,20,39,-249,32,20,-18
472,20,39,-250,28,20,-20
473,20,39,-249,28,18,-20
474,21,39,-249,30,18,-20
475,21,39,-249,22,18,-18
476,20,38,-249,26,20,-20
477,20,38,-249,18,18,-18
478,20,38,-249,16,22,-20
479,20,38,-249,0,22,-22
480,20,38,-249,8,22,-22
481,21,38,-249,10,20,-20
482,21,38,-249,-2,22,-24
483,21,38,-249,2,24,-22
484,21,38,-249,0,20,-26
485,21,37,-249,-4,22,-22
486,21,38,-249,0,24,-26
487,21,38,-249,0,22,-24
488,21,39,-249,8,20,-24
489,21,40,-249,18,16,-22
490,21,39,-249,30,12,-22
491,21,39,-249,30,12,-20
492,21,39,-249,24,16,-24
493,21,39,-249,22,14,-22
494,21,38,-249,8,18,-24
495,21,39,-249,14,20,-22
496,21,39,-249,6,18,-22
497,21,39,-249,6,18,-20
498,21,40,-249,14,20,-20
499,21,39,-249,4,20,-20
500,21,39,-249,0,22,-22
501,21,40,-249,12,22,-20
502,21,41,-249,8,18,-20
503,22,39,-249,2,18,-22
504,22,39,-249,12,16,-18
505,22,40,-249,18,14,-20
506,22,40,-250,20,16,-22
507,22,38,-250,24,20,-28
508,22,38,-250,18,26,-28
509,22,39,-250,12,22,-42
510,23,40,-249,14,16,-44
511,22,39,-250,10,14,-38
512,22,39,-249,10,18,-38
513,22,39,-250,6,18,-38
514,22,39,-250,4,20,-34
515,23,39,-250,-2,24,-34
516,23,39,-250,-4,24,-32
517,23,39,-250,0,22,-32
518,23,40,-250,0,22,-30
519,23,40,-249,6,22,-28
520,23,40,-250,8,18,-24
521,23,40,-250,6,16,-22
522,24,41,-250,8,8,-12
523,23,40,-250,10,6,-10
524,23,41,-250,22,2,-4
525,23,40,-250,24,0,-6
526,23,40,-250,20,4,-6
527,23,40,-250,30,6,-10
528,23,40,-250,28,8,-8
529,23,40,-250,22,6,-16
530,23,40,-250,28,10,-12
531,23,40,-250,22,10,-16
532,23,39,-250,4,18,-20
533,23,40,-250,18,16,-18
534,23,40,-250,14,14,-16
535,23,40,-250,10,16,-18
536,23,40,-250,4,18,-18
537,23,40,-250,8,16,-20
538,23,39,-250,-2,20,-20
539,23,40,-250,12,20,-20
540,23,40,-250,18,14,-18
541,23,40,-250,28,10,-18
542,23,40,-250,38,12,-16
543,23,40,-250,24,14,-18
544,23,40,-250,24,14,-18
545,23,39,-250,18,16,-18
546,23,38,-250,16,18,-18
547,23,39,-250,22,16,-18
548,23,38,-250,16,18,-18
549,23,38,-250,14,18,-20
550,23,39,-250,12,18,-18
551,23,38,-250,20,20,-18
552,23,38,-250,12,22,-18
553,23,39,-250,8,22,-22
554,23,38,-250,2,22,-24
555,23,39,-250,10,20,-22
556,23,39,-250,14,20,-22
557,23,40,-250,14,16,-24
558,23,39,-250,18,14,-24
559,23,38,-250,32,10,-26
560,23,39,-250,44,16,-24
561,23,38,-250,26,8,-22
562,23,37,-250,24,14,-24
563,23,38,-250,30,12,-20
564,23,36,-251,14,18,-16
565,23,38,-250,26,16,-16
566,23,37,-250,30,12,-14
567,23,37,-250,32,12,-16
568,23,37,-250,30,10,-16
569,23,36,-250,34,8,-18
570,23,36,-250,34,10,-18
571,23,36,-250,32,8,-18
572,23,35,-250,28,12,-16
573,23,35,-250,28,18,-18
574,23,34,-250,12,20,-28
575,23,35,-250,20,20,-20
576,23,35,-250,6,20,-24
577,23,35,-250,2,20,-20
578,23,36,-249,0,24,-24
579,23,35,-250,4,14,-24
580,23,36,-250,10,12,-22
581,23,35,-250,22,6,-20
582,23,35,-250,16,2,-16
583,22,34,-250,38,-6,-12
584,22,35,-250,48,-6,-16
585,21,34,-250,54,0,-16
586,21,33,-250,40,6,-18
587,21,32,-250,40,8,-20
588,21,32,-250,36,6,-18
589,21,31,-251,38,6,-18
590,20,32,-250,34,6,-16
591,20,31,-251,36,6,-18
592,20,31,-251,36,6,-16
593,20,31,-251,34,8,-16
594,20,30,-251,26,12,-18
595,20,30,-251,24,12,-18
596,20,30,-251,24,16,-20
597,20,30,-251,28,14,-18
598,20,30,-251,22,16,-20
599,20,30,-251,18,16,-22
600,20,30,-250,10,22,-24
601,20,30,-251,10,22,-22
602,20,30,-251,2,24,-22
603,20,30,-251,0,24,-20
604,20,30,-251,0,28,-22
605,20,30,-251,2,28,-20
606,20,31,-251,0,26,-20
607,20,31,-251,8,24,-22
608,20,31,-251,18,24,-20
609,20,31,-251,18,20,-20
610,20,31,-251,12,22,-18
611,20,31,-251,14,20,-16
612,20,31,-251,12,22,-18
613,20,31,-251,20,16,-14
614,20,31,-251,22,16,-16
615,20,31,-251,26,12,-16
616,20,31,-251,30,12,-18
617,20,31,-251,26,12,-18
618,20,30,-251,26,14,-20
619,20,30,-251,30,14,-20
620,20,30,-251,28,14,-18
621,20,30,-251,12,16,-16
622,20,29,-251,12,20,-18
623,20,30,-251,12,20,-18
624,20,30,-251,12,22,-20
625,20,30,-251,6,22,-20
626,20,29,-251,0,24,-22
627,20,30,-251,0,22,-22
628,20,30,-251,4,24,-22
629,20,30,-251,18,16,-18
630,20,30,-251,32,20,-22
631,20,30,-251,38,18,-22
632,20,29,-251,38,14,-22
633,20,28,-251,38,12,-18
634,20,28,-251,34,14,-18
635,20,27,-251,24,12,-20
636,20,26,-251,28,8,-18
637,20,27,-251,28,6,-18
638,20,27,-251,12,12,-18
639,20,27,-251,0,14,-18
640,20,27,-251,4,10,-18
641,20,27,-251,16,8,-18
642,20,27,-251,22,6,-16
643,20,27,-251,18,6,-16
644,20,27,-252,8,12,-18
645,20,27,-251,10,10,-18
646,20,28,-251,8,14,-22
647,20,28,-251,-8,18,-18
648,20,27,-251,-6,18,-20
649,20,28,-251,14,16,-16
650,20,28,-251,16,18,-18
651,20,28,-251,22,16,-18
652,20,27,-251,26,14,-20
653,20,27,-251,26,10,-18
654,20,27,-251,28,10,-20
655,20,27,-251,20,14,-16
656,20,27,-251,24,12,-16
657,20,27,-251,14,16,-18
658,20,27,-251,10,18,-20
659,20,27,-251,14,18,-18
660,20,27,-251,4,22,-22
661,20,28,-251,4,20,-24
662,20,27,-251,4,22,-24
663,20,27,-251,2,22,-22
664,20,28,-251,0,22,-22
665,20,28,-251,4,24,-20
666,20,28,-251,0,22,-20
667,20,28,-251,2,22,-20
668,20,28,-251,0,22,-22
669,20,28,-251,8,18,-22
670,20,28,-251,8,20,-22
671,20,28,-251,14,16,-24
672,20,28,-251,14,18,-26
673,20,28,-251,22,16,-26
674,20,28,-251,26,14,-26
675,20,28,-251,26,16,-24
676,20,27,-251,26,20,-24
677,20,27,-251,26,18,-20
678,20,27,-251,32,16,-22
679,20,27,-251,32,16,-16
680,20,26,-251,30,16,-16
681,20,26,-251,32,18,-16
682,20,27,-251,16,20,-20
683,21,26,-251,20,20,-18
684,20,27,-251,24,20,-18
685,20,26,-251,6,22,-20
686,20,26,-251,12,22,-20
687,20,26,-252,8,16,-22
688,20,26,-251,8,18,-22
689,20,26,-251,12,16,-22
690,20,26,-251,14,18,-24
691,20,26,-251,16,18,-24
692,20,26,-251,4,20,-28
693,20,26,-251,2,20,-24
694,20,27,-251,4,20,-22
695,20,27,-251,6,18,-22
696,20,27,-251,14,16,-24
697,20,27,-251,16,14,-24
698,20,27,-251,16,14,-22
699,20,27,-251,12,16,-20
700,20,27,-251,12,14,-22
701,20,27,-251,20,10,-22
702,20,27,-251,24,6,-18
703,20,26,-251,22,4,-14
704,20,26,-251,26,2,-12
705,20,26,-251,26,0,-10
706,20,25,-251,28,0,-12
707,20,25,-251,24,4,-14
708,20,24,-252,12,8,-12
709,20,25,-251,26,6,-10
710,20,25,-252,22,6,-10
711,20,25,-252,22,8,-8
712,20,24,-252,20,8,-8
713,20,24,-252,18,12,-10
714,20,24,-251,18,12,-12
715,20,24,-252,26,20,-14
716,20,24,-252,10,26,-20
717,20,24,-252,0,28,-20
718,20,25,-252,0,26,-22
719,20,25,-252,4,22,-20
720,20,25,-252,-4,24,-20
721,20,25,-252,0,22,-18
722,20,26,-253,4,22,-20
723,20,26,-252,8,16,-18
724,20,26,-252,0,18,-18
725,20,26,-252,2,20,-18
726,20,26,-252,4,20,-14
727,20,27,-252,22,20,-6
728,20,26,-252,32,14,-4
729,20,26,-252,18,14,-6
730,20,26,-252,12,16,-8
731,20,26,-252,24,18,-12
732,20,26,-252,20,20,-14
733,20,26,-252,22,18,-14
734,20,26,-252,10,16,-12
735,20,26,-252,10,14,-12
736,20,25,-252,4,12,-10
737,20,26,-252,22,10,-14
738,20,25,-252,16,10,-12
739,20,26,-252,22,8,-12
740,20,25,-252,14,10,-12
741,20,26,-252,18,12,-14
742,20,26,-252,12,12,-14
743,20,26,-252,14,14,-14
744,20,26,-252,10,14,-14
745,20,26,-252,16,12,-16
746,20,25,-252,12,14,-16
747,20,25,-252,16,12,-16
748,20,25,-252,8,14,-16
749,20,25,-252,16,12,-16
750,20,25,-252,12,14,-16
751,20,25,-252,12,14,-18
752,20,25,-252,6,18,-16
753,20,25,-252,12,20,-16
754,20,24,-252,0,44,-20
755,19,25,-253,-100,140,-44
756,23,27,-252,-52,266,-138
757,29,27,-249,-22,272,-270
758,31,29,-250,44,244,-336
759,34,30,-249,88,192,-312
760,36,31,-249,84,144,-214
761,37,31,-249,36,98,-68
762,39,30,-248,30,68,58
763,41,30,-249,24,-52,146
764,36,26,-250,-12,-112,124
765,33,30,-250,44,-118,108
766,32,29,-250,22,-100,94
767,30,28,-250,22,-80,74
768,28,28,-248,18,-62,58
769,26,27,-251,36,-54,48
770,26,26,-251,74,-52,54
771,24,26,-250,30,-34,34
772,24,26,-251,26,-20,26
773,23,26,-251,26,-12,16
774,22,26,-251,22,-6,10
775,22,26,-251,24,0,0
776,22,26,-251,14,6,-2
777,22,26,-251,18,10,-4
778,22,26,-251,22,10,-8
779,21,26,-251,20,12,-10
780,21,26,-251,22,10,-8
781,21,26,-251,12,10,-6
782,21,25,-251,16,12,-4
783,21,26,-251,12,10,-4
784,21,26,-251,4,4,-2
785,20,26,-251,0,8,-6
786,20,26,-251,12,8,-4
787,20,25,-251,24,0,-12
788,20,26,-251,14,0,-14
789,20,26,-251,4,0,-14
790,19,26,-251,-10,-14,-14
791,18,25,-253,-56,-58,-10
792,8,26,-258,-164,106,-30
793,13,26,-257,-152,224,-216
794,15,26,-251,-132,314,-524
795,19,32,-247,-140,322,-752
796,23,42,-245,-90,282,-770
797,24,46,-245,-88,236,-716
798,25,54,-245,-146,218,-664
799,24,55,-245,-8,184,-528
800,26,59,-245,-2,154,-438
801,27,62,-247,54,174,-366
802,28,67,-246,260,164,-218
803,34,70,-243,60,148,106
804,35,63,-238,-156,-24,498
805,25,51,-239,-118,-226,524
806,24,51,-245,-20,-138,476
807,25,51,-242,26,-122,400
808,24,48,-244,14,-108,338
809,23,48,-246,24,-98,292
810,23,47,-246,42,-84,252
811,22,46,-246,40,-68,216
812,22,45,-247,32,-40,170
813,21,43,-250,-120,12,112
814,21,39,-254,-116,196,-54
815,22,37,-253,-16,302,-300
816,26,42,-247,34,306,-590
817,29,48,-243,22,252,-760
818,30,57,-243,108,210,-712
819,31,57,-243,98,162,-658
820,31,60,-246,6,166,-580
821,33,60,-244,120,130,-510
822,33,61,-246,36,106,-418
823,34,59,-247,72,118,-374
824,35,60,-245,112,102,-322
825,35,66,-246,222,132,-230
826,39,68,-245,150,168,66
827,41,63,-242,-170,74,468
828,35,57,-238,-282,-130,610
829,32,55,-248,78,-320,680
830,29,50,-251,2,-194,512
831,30,45,-247,48,-186,428
832,28,45,-247,22,-140,374
833,28,44,-247,22,-122,328
834,27,44,-247,36,-100,282
835,26,42,-247,28,-82,238
836,25,41,-248,36,-70,204
837,25,40,-248,32,-56,174
838,24,39,-249,28,-44,144
839,24,38,-249,36,-28,114
840,24,37,-249,56,-20,90
841,24,37,-250,44,-10,72
842,24,36,-250,42,-4,56
843,24,35,-250,36,0,44
844,23,35,-250,22,4,34
845,23,35,-250,26,2,26
846,23,34,-250,22,4,18
847,23,34,-250,34,2,6
848,23,33,-250,38,8,-4
849,23,33,-250,22,16,-4
850,23,33,-250,6,12,-4
851,23,33,-250,0,18,0
852,23,33,-250,-14,24,-2
853,23,34,-250,-22,30,-4
854,24,34,-250,14,30,-4
855,24,34,-250,22,34,-6
856,24,33,-250,30,24,-2
